Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-10-21,33.7885,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-22,34.8585,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-23,33.699,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-24,33.6833,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-25,33.7188,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-28,33.6725,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-29,34.4541,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-30,33.7763,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-10-31,32.6625,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-01,32.4895,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-04,32.4505,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-05,32.657,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-06,31.1778,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-07,32.0277,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-08,31.307,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-11,30.6833,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-12,30.722,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-13,30.3055,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-14,30.4497,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-15,30.2708,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-18,31.1733,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-19,31.2115,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-20,30.8532,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-21,30.788,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-22,31.3458,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-25,30.2985,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-26,30.4412,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-27,30.0996,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-28,30.222,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-11-29,30.625,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-12-02,30.5125,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
